paragraphs_count;sentences_count;words_count;letters_count;total_question_marks;name;author
32;81;1473;7998;0;./data/A_I_Kuprin\Allez! (Куприн).txt;A_I_Kuprin
24;68;937;5101;0;./data/A_I_Kuprin\Аль-Исса (Куприн).txt;A_I_Kuprin
66;179;2310;12354;7;./data/A_I_Kuprin\Анафема (Куприн).txt;A_I_Kuprin
36;172;3291;17186;3;./data/A_I_Kuprin\Без заглавия (Куприн).txt;A_I_Kuprin
50;171;2516;13002;9;./data/A_I_Kuprin\Бонза (Куприн).txt;A_I_Kuprin
57;188;2277;12299;30;./data/A_I_Kuprin\Бред (Куприн).txt;A_I_Kuprin
22;69;783;4469;7;./data/A_I_Kuprin\Брильянты (Куприн).txt;A_I_Kuprin
51;159;1969;10593;3;./data/A_I_Kuprin\В зверинце (Куприн).txt;A_I_Kuprin
95;270;2515;13889;41;./data/A_I_Kuprin\В казарме (Куприн).txt;A_I_Kuprin
23;115;1227;6166;14;./data/A_I_Kuprin\В клетке зверя (Куприн).txt;A_I_Kuprin
83;279;3723;20256;11;./data/A_I_Kuprin\В недрах земли (Куприн).txt;A_I_Kuprin
60;210;3302;17993;31;./data/A_I_Kuprin\Волшебный ковёр (Куприн).txt;A_I_Kuprin
34;129;1909;9728;17;./data/A_I_Kuprin\Воробей (Куприн).txt;A_I_Kuprin
48;189;1673;8421;26;./data/A_I_Kuprin\Гоголь-моголь (Куприн).txt;A_I_Kuprin
29;74;796;3861;1;./data/A_I_Kuprin\Демир-Кая (Куприн).txt;A_I_Kuprin
57;124;1433;7578;23;./data/A_I_Kuprin\Детский сад (Куприн).txt;A_I_Kuprin
111;342;4501;24877;22;./data/A_I_Kuprin\Дочь великого Барнума (Куприн).txt;A_I_Kuprin
99;151;1269;6817;35;./data/A_I_Kuprin\Друзья (Куприн).txt;A_I_Kuprin
336;1250;17251;91931;111;./data/A_I_Kuprin\Жидкое солнце (Куприн).txt;A_I_Kuprin
19;73;977;5475;0;./data/A_I_Kuprin\Жизнь (Куприн).txt;A_I_Kuprin
147;267;3459;18658;36;./data/A_I_Kuprin\Жрец (Куприн).txt;A_I_Kuprin
34;148;2038;10561;10;./data/A_I_Kuprin\Игрушка (Куприн).txt;A_I_Kuprin
33;113;1368;6942;6;./data/A_I_Kuprin\Инна (Куприн).txt;A_I_Kuprin
11;11;53;306;1;./data/A_I_Kuprin\Искусство (Куприн).txt;A_I_Kuprin
21;117;1347;7222;21;./data/A_I_Kuprin\Исполины (Куприн).txt;A_I_Kuprin
227;832;9608;49768;91;./data/A_I_Kuprin\К славе (Куприн).txt;A_I_Kuprin
267;833;8653;43903;67;./data/A_I_Kuprin\Как я был актёром (Куприн).txt;A_I_Kuprin
232;856;8051;39494;89;./data/A_I_Kuprin\Конокрады (Куприн).txt;A_I_Kuprin
42;123;1853;10129;11;./data/A_I_Kuprin\Королевский парк (Куприн).txt;A_I_Kuprin
26;66;700;3637;6;./data/A_I_Kuprin\Легенда (Куприн).txt;A_I_Kuprin
72;228;3368;17972;12;./data/A_I_Kuprin\Леночка (Куприн).txt;A_I_Kuprin
43;132;2018;11196;0;./data/A_I_Kuprin\Лимонная корка (Куприн).txt;A_I_Kuprin
34;109;1753;10018;4;./data/A_I_Kuprin\Локон (Куприн).txt;A_I_Kuprin
39;148;2521;13035;9;./data/A_I_Kuprin\Лолли (Куприн).txt;A_I_Kuprin
54;232;3142;15672;33;./data/A_I_Kuprin\Лунной ночью (Куприн).txt;A_I_Kuprin
42;123;1402;7179;13;./data/A_I_Kuprin\Марианна (Куприн).txt;A_I_Kuprin
209;700;7365;38191;56;./data/A_I_Kuprin\Мелюзга (Куприн).txt;A_I_Kuprin
66;224;3025;17916;8;./data/A_I_Kuprin\Механическое правосудие (Куприн).txt;A_I_Kuprin
39;168;2504;12988;16;./data/A_I_Kuprin\Миллионер (Куприн).txt;A_I_Kuprin
202;573;7468;38822;41;./data/A_I_Kuprin\Морская болезнь (Куприн).txt;A_I_Kuprin
77;303;3836;20339;23;./data/A_I_Kuprin\Мясо (Куприн).txt;A_I_Kuprin
186;714;8546;44907;59;./data/A_I_Kuprin\На покое (Куприн).txt;A_I_Kuprin
83;263;2880;14688;28;./data/A_I_Kuprin\На разъезде (Куприн).txt;A_I_Kuprin
70;203;2407;12631;22;./data/A_I_Kuprin\Нарцисс (Куприн).txt;A_I_Kuprin
32;94;1360;7398;6;./data/A_I_Kuprin\Наталья Давыдовна (Куприн).txt;A_I_Kuprin
43;135;1585;8190;12;./data/A_I_Kuprin\Начальница тяги (Куприн).txt;A_I_Kuprin
145;356;4369;23311;52;./data/A_I_Kuprin\Негласная ревизия (Куприн).txt;A_I_Kuprin
196;577;7022;36798;43;./data/A_I_Kuprin\Ночная смена (Куприн).txt;A_I_Kuprin
63;252;3142;15915;14;./data/A_I_Kuprin\Ночная фиалка (Куприн).txt;A_I_Kuprin
111;408;4789;26323;43;./data/A_I_Kuprin\Обида (Куприн).txt;A_I_Kuprin
67;219;2962;15649;44;./data/A_I_Kuprin\Одиночество (Куприн).txt;A_I_Kuprin
87;484;5497;28998;30;./data/A_I_Kuprin\Однорукий комендант (Куприн).txt;A_I_Kuprin
56;139;2219;11695;7;./data/A_I_Kuprin\Палач (Куприн).txt;A_I_Kuprin
54;170;1657;8377;11;./data/A_I_Kuprin\Пегие лошади (Куприн).txt;A_I_Kuprin
39;90;1223;6408;6;./data/A_I_Kuprin\Первенец (Куприн).txt;A_I_Kuprin
51;236;3070;15676;33;./data/A_I_Kuprin\Первый встречный (Куприн).txt;A_I_Kuprin
86;209;2377;12650;25;./data/A_I_Kuprin\Пиратка (Куприн).txt;A_I_Kuprin
39;197;3242;18363;15;./data/A_I_Kuprin\По заказу (Куприн).txt;A_I_Kuprin
46;142;1771;9143;3;./data/A_I_Kuprin\По-семейному (Куприн).txt;A_I_Kuprin
83;366;4493;23600;41;./data/A_I_Kuprin\Погибшая сила (Куприн).txt;A_I_Kuprin
162;364;3939;21251;40;./data/A_I_Kuprin\Полубог (Куприн).txt;A_I_Kuprin
94;218;1652;8043;30;./data/A_I_Kuprin\Последнее слово (Куприн).txt;A_I_Kuprin
68;298;3861;21462;15;./data/A_I_Kuprin\Последние рыцари (Куприн).txt;A_I_Kuprin
77;264;3064;16239;26;./data/A_I_Kuprin\Поход (Куприн).txt;A_I_Kuprin
55;215;1999;9807;17;./data/A_I_Kuprin\Пощёчина (Куприн).txt;A_I_Kuprin
41;163;1563;8020;23;./data/A_I_Kuprin\Просительница (Куприн).txt;A_I_Kuprin
85;397;5576;28670;49;./data/A_I_Kuprin\Психея (Куприн).txt;A_I_Kuprin
21;67;832;4138;5;./data/A_I_Kuprin\Пустые дачи (Куприн).txt;A_I_Kuprin
42;190;2069;10966;16;./data/A_I_Kuprin\Путешественники (Куприн).txt;A_I_Kuprin
159;583;6343;32589;32;./data/A_I_Kuprin\Река жизни (Куприн).txt;A_I_Kuprin
133;1105;11035;53685;105;./data/A_I_Kuprin\С улицы (Куприн).txt;A_I_Kuprin
72;201;2418;12890;9;./data/A_I_Kuprin\Сашка и Яшка (Куприн).txt;A_I_Kuprin
115;395;4369;23534;31;./data/A_I_Kuprin\Свадьба (Куприн).txt;A_I_Kuprin
57;172;2560;13287;9;./data/A_I_Kuprin\Святая любовь (Куприн).txt;A_I_Kuprin
25;133;2649;13963;9;./data/A_I_Kuprin\Сентиментальный роман (Куприн).txt;A_I_Kuprin
57;214;2636;12675;10;./data/A_I_Kuprin\Серебряный волк (Куприн).txt;A_I_Kuprin
87;274;4089;21891;23;./data/A_I_Kuprin\Синяя звезда (Куприн).txt;A_I_Kuprin
24;51;331;1550;5;./data/A_I_Kuprin\Сказка (1920, Куприн).txt;A_I_Kuprin
35;128;1857;9698;17;./data/A_I_Kuprin\Сказка (Куприн).txt;A_I_Kuprin
27;67;388;1822;6;./data/A_I_Kuprin\Сказочки (Куприн).txt;A_I_Kuprin
20;149;2031;10884;4;./data/A_I_Kuprin\Скворцы (Куприн).txt;A_I_Kuprin
57;222;2778;14599;28;./data/A_I_Kuprin\Славянская душа (Куприн).txt;A_I_Kuprin
125;319;2895;14003;40;./data/A_I_Kuprin\Слон (Куприн).txt;A_I_Kuprin
26;102;1539;8094;1;./data/A_I_Kuprin\Слоновья прогулка (Куприн).txt;A_I_Kuprin
25;79;880;4574;1;./data/A_I_Kuprin\Сны (Куприн).txt;A_I_Kuprin
82;189;2136;11617;15;./data/A_I_Kuprin\Собачье счастье (Куприн).txt;A_I_Kuprin
95;214;2233;10812;40;./data/A_I_Kuprin\Странный случай (Куприн).txt;A_I_Kuprin
143;364;4784;25938;46;./data/A_I_Kuprin\Страшная минута (Куприн).txt;A_I_Kuprin
